Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1899.000;75.960;0.049;7.229;-0.109;0.071;14.035;-0.192;0.078;26.078;-0.314;0.042;41.970;-0.817;0.025;46.201;2.194;0.345;52.694;3.180;-6.613;56.594;4.096;7.135;56.980;3.211;-2.604;58.846;11.290;3.961;59.030;10.868;-1.495;36.789;-2.261;-15.503;35.302;-1.092;-20.695;22.319;-2.240;-26.433;7.971;-3.510;-23.244;6.630;8.908;-19.727;4.968;23.471;-19.985;3.264;24.179;-17.572;1.032;31.028;-17.307;0.754;33.400;-17.101;-0.036;35.852;-17.018;-0.161;37.517;-20.121;4.089;24.304;-18.594;3.314;31.627;-17.769;3.762;35.551;-17.588;4.058;38.493;-17.446;4.236;40.525;-19.686;5.459;23.955;-18.828;5.841;32.203;-18.095;6.184;36.184;-17.354;6.576;39.456;-17.119;6.741;41.602;-20.028;6.472;23.819;-18.859;8.119;31.772;-17.999;8.721;35.437;-17.245;9.164;38.137;-16.595;9.214;40.096;-19.010;7.294;25.637;-18.996;10.465;27.304;-17.780;11.806;29.151;-18.317;14.343;30.192;1.730;36.801;-2.129;15.844;34.110;-0.169;20.949;20.488;-1.602;26.591;5.433;-3.184;23.507;5.371;9.197;20.096;4.945;24.327;19.956;3.337;25.369;19.117;1.144;31.713;18.997;-0.291;34.251;18.596;-1.417;36.391;18.215;-2.178;37.869;20.128;4.218;25.544;19.928;3.479;32.135;19.689;2.741;36.395;19.671;2.155;39.664;19.655;1.919;41.748;19.628;5.294;25.642;20.236;5.637;32.926;20.641;5.331;37.499;20.661;5.048;40.495;20.656;5.000;42.680;19.673;6.202;25.499;20.035;8.245;32.854;20.143;8.803;36.673;20.204;8.905;39.327;20.218;9.083;41.548;19.342;7.203;26.162;19.884;10.441;28.053;20.090;12.047;30.894;20.653;14.699;31.367;0.000;0.000;0.000;-7.657;-12.210;-0.943;-9.642;-33.001;-0.242;-11.976;-57.406;0.581;-10.836;-101.530;-7.674;7.538;-12.366;-1.635;9.316;-33.122;-0.654;11.401;-57.488;0.498;10.290;-101.832;-8.425
1900.000;76.000;0.048;7.230;-0.108;0.069;14.037;-0.191;0.073;26.081;-0.313;0.031;41.973;-0.819;0.011;46.202;2.190;0.331;52.693;3.173;-6.632;56.586;4.087;7.116;56.987;3.206;-2.628;58.842;11.283;3.938;59.033;10.862;-1.503;36.791;-2.263;-15.511;35.296;-1.108;-20.694;22.312;-2.267;-26.422;7.961;-3.549;-23.243;6.622;8.872;-19.736;4.961;23.439;-19.986;3.243;24.139;-17.574;1.045;31.003;-17.307;0.763;33.377;-17.101;-0.024;35.825;-17.008;-0.161;37.489;-20.118;4.070;24.262;-18.616;3.326;31.593;-17.801;3.759;35.522;-17.604;4.050;38.464;-17.473;4.215;40.498;-19.685;5.456;23.923;-18.856;5.821;32.164;-18.107;6.194;36.152;-17.376;6.610;39.424;-17.140;6.763;41.571;-20.029;6.470;23.784;-18.885;8.116;31.739;-18.017;8.722;35.412;-17.282;9.174;38.105;-16.644;9.223;40.068;-19.036;7.282;25.602;-19.010;10.457;27.264;-17.803;11.806;29.116;-18.350;14.340;30.158;1.722;36.804;-2.129;15.838;34.119;-0.157;20.949;20.499;-1.582;26.598;5.446;-3.156;23.499;5.383;9.224;20.072;4.953;24.350;19.927;3.328;25.384;19.098;1.152;31.731;18.969;-0.289;34.273;18.569;-1.419;36.408;18.201;-2.170;37.895;20.094;4.210;25.556;19.899;3.487;32.159;19.652;2.737;36.420;19.646;2.155;39.689;19.632;1.923;41.773;19.609;5.290;25.666;20.203;5.657;32.948;20.605;5.334;37.519;20.629;5.041;40.515;20.607;5.000;42.700;19.649;6.199;25.522;19.985;8.257;32.895;20.110;8.817;36.690;20.164;8.912;39.341;20.147;9.076;41.564;19.313;7.211;26.196;19.857;10.449;28.082;20.119;12.039;30.930;20.553;14.718;31.387;0.000;0.000;0.000;-7.656;-12.210;-0.946;-9.642;-33.001;-0.245;-11.976;-57.407;0.577;-10.833;-101.529;-7.678;7.539;-12.366;-1.632;9.316;-33.122;-0.652;11.399;-57.488;0.498;10.290;-101.831;-8.429
1901.000;76.040;0.047;7.232;-0.107;0.062;14.041;-0.186;0.057;26.088;-0.299;-0.006;41.980;-0.805;-0.043;46.205;2.202;0.262;52.690;3.186;-6.708;56.569;4.107;7.039;56.998;3.217;-2.703;58.829;11.301;3.862;59.033;10.876;-1.529;36.796;-2.254;-15.538;35.280;-1.143;-20.692;22.290;-2.349;-26.389;7.933;-3.681;-23.243;6.597;8.748;-19.776;4.938;23.324;-20.026;3.218;24.023;-17.614;1.040;30.872;-17.320;0.766;33.263;-17.113;0.008;35.705;-16.999;-0.092;37.370;-20.172;4.042;24.146;-18.673;3.298;31.482;-17.887;3.719;35.412;-17.707;4.018;38.362;-17.588;4.166;40.398;-19.727;5.413;23.815;-18.913;5.776;32.057;-18.170;6.187;36.034;-17.426;6.621;39.292;-17.164;6.801;41.434;-20.065;6.429;23.673;-18.986;8.079;31.630;-18.128;8.712;35.298;-17.410;9.131;37.998;-16.741;9.208;39.950;-19.097;7.265;25.501;-19.100;10.436;27.158;-17.904;11.791;28.992;-18.470;14.304;30.075;1.696;36.813;-2.109;15.812;34.151;-0.089;20.939;20.534;-1.495;26.605;5.483;-3.050;23.446;5.402;9.315;19.946;4.954;24.425;19.796;3.333;25.462;18.915;1.140;31.804;18.792;-0.300;34.335;18.369;-1.440;36.470;17.999;-2.201;37.951;19.965;4.214;25.637;19.728;3.470;32.230;19.457;2.714;36.489;19.403;2.127;39.750;19.338;1.899;41.834;19.466;5.301;25.737;20.042;5.642;33.012;20.389;5.318;37.602;20.360;5.023;40.593;20.304;4.974;42.778;19.510;6.210;25.596;19.803;8.244;32.977;19.904;8.786;36.764;19.904;8.898;39.414;19.836;9.050;41.637;19.164;7.209;26.259;19.684;10.445;28.148;19.931;12.036;31.025;20.350;14.719;31.476;0.000;0.000;0.000;-7.655;-12.211;-0.956;-9.641;-33.001;-0.250;-11.977;-57.406;0.580;-10.821;-101.530;-7.668;7.541;-12.366;-1.622;9.312;-33.123;-0.635;11.388;-57.491;0.524;10.280;-101.836;-8.396
1902.000;76.080;0.045;7.234;-0.107;0.059;14.045;-0.183;0.046;26.096;-0.287;-0.042;41.988;-0.800;-0.095;46.212;2.203;0.191;52.694;3.187;-6.781;56.561;4.141;6.961;57.012;3.184;-2.744;58.828;11.315;3.818;59.043;10.858;-1.552;36.800;-2.252;-15.564;35.263;-1.185;-20.701;22.270;-2.412;-26.378;7.909;-3.768;-23.260;6.593;8.669;-19.829;4.955;23.252;-20.067;3.225;23.952;-17.633;1.091;30.826;-17.363;0.848;33.207;-17.148;0.110;35.659;-17.020;0.018;37.324;-20.213;4.050;24.071;-18.725;3.332;31.420;-17.951;3.769;35.345;-17.772;4.089;38.290;-17.640;4.223;40.327;-19.804;5.424;23.738;-18.976;5.816;31.981;-18.202;6.247;35.955;-17.402;6.702;39.214;-17.157;6.890;41.358;-20.142;6.431;23.597;-19.065;8.116;31.547;-18.210;8.736;35.227;-17.486;9.172;37.929;-16.851;9.241;39.892;-19.152;7.292;25.417;-19.178;10.471;27.078;-17.968;11.817;28.920;-18.528;14.335;29.994;1.672;36.823;-2.098;15.788;34.186;-0.030;20.934;20.573;-1.414;26.622;5.528;-2.943;23.393;5.441;9.407;19.806;4.989;24.503;19.648;3.363;25.529;18.715;1.151;31.853;18.556;-0.300;34.374;18.125;-1.434;36.508;17.740;-2.202;37.982;19.813;4.244;25.707;19.515;3.485;32.292;19.185;2.717;36.551;19.076;2.108;39.820;19.028;1.845;41.900;19.315;5.312;25.820;19.801;5.668;33.104;20.104;5.305;37.675;20.013;4.992;40.663;19.906;4.944;42.846;19.350;6.222;25.683;19.603;8.259;33.039;19.652;8.787;36.852;19.625;8.880;39.495;19.539;9.035;41.717;19.017;7.233;26.345;19.494;10.469;28.234;19.724;12.062;31.112;20.149;14.741;31.572;0.000;0.000;0.000;-7.653;-12.211;-0.963;-9.642;-33.001;-0.247;-11.980;-57.407;0.593;-10.815;-101.530;-7.642;7.543;-12.366;-1.613;9.314;-33.124;-0.620;11.390;-57.493;0.547;10.293;-101.840;-8.364
1903.000;76.120;0.045;7.237;-0.107;0.057;14.050;-0.181;0.039;26.104;-0.278;-0.063;41.996;-0.797;-0.129;46.217;2.206;0.146;52.692;3.199;-6.823;56.540;4.249;6.902;57.031;3.096;-2.692;58.826;11.363;3.862;59.060;10.813;-1.564;36.806;-2.251;-15.573;35.258;-1.220;-20.705;22.261;-2.452;-26.376;7.896;-3.813;-23.281;6.611;8.632;-19.871;5.010;23.224;-20.113;3.281;23.926;-17.692;1.167;30.800;-17.414;0.970;33.190;-17.175;0.241;35.654;-17.060;0.171;37.321;-20.266;4.105;24.043;-18.790;3.417;31.392;-18.014;3.845;35.319;-17.833;4.150;38.273;-17.725;4.303;40.309;-19.836;5.500;23.711;-19.034;5.897;31.949;-18.216;6.415;35.909;-17.407;6.867;39.162;-17.158;7.067;41.304;-20.186;6.513;23.569;-19.124;8.182;31.515;-18.263;8.819;35.192;-17.541;9.243;37.892;-16.897;9.325;39.853;-19.196;7.352;25.405;-19.229;10.530;27.035;-18.015;11.882;28.868;-18.588;14.391;29.955;1.659;36.832;-2.089;15.776;34.209;0.027;20.938;20.597;-1.332;26.643;5.551;-2.834;23.332;5.467;9.493;19.641;5.024;24.567;19.470;3.427;25.609;18.527;1.201;31.917;18.362;-0.260;34.442;17.922;-1.397;36.564;17.532;-2.160;38.039;19.644;4.306;25.792;19.315;3.534;32.360;18.989;2.747;36.607;18.871;2.146;39.874;18.792;1.897;41.955;19.156;5.340;25.872;19.620;5.707;33.152;19.894;5.339;37.738;19.780;5.043;40.730;19.673;4.983;42.912;19.192;6.249;25.732;19.386;8.300;33.109;19.436;8.835;36.920;19.414;8.935;39.556;19.330;9.082;41.779;18.823;7.263;26.370;19.315;10.505;28.295;19.517;12.097;31.162;19.955;14.772;31.635;0.000;0.000;0.000;-7.652;-12.211;-0.968;-9.642;-33.001;-0.247;-11.981;-57.407;0.601;-10.810;-101.533;-7.619;7.545;-12.366;-1.605;9.316;-33.124;-0.607;11.391;-57.494;0.564;10.303;-101.843;-8.344
1904.000;76.160;0.044;7.238;-0.107;0.054;14.052;-0.178;0.030;26.109;-0.266;-0.086;42.000;-0.801;-0.162;46.223;2.205;0.101;52.693;3.210;-6.860;56.514;4.401;6.836;57.059;2.957;-2.589;58.830;11.422;3.952;59.090;10.732;-1.580;36.808;-2.252;-15.590;35.242;-1.241;-20.715;22.244;-2.463;-26.379;7.877;-3.812;-23.313;6.634;8.641;-19.944;5.082;23.243;-20.177;3.372;23.961;-17.755;1.292;30.844;-17.482;1.119;33.226;-17.222;0.433;35.708;-17.111;0.387;37.376;-20.334;4.195;24.076;-18.859;3.530;31.421;-18.091;4.021;35.345;-17.912;4.358;38.294;-17.827;4.543;40.329;-19.906;5.579;23.722;-19.114;6.030;31.960;-18.331;6.541;35.907;-17.488;7.060;39.162;-17.216;7.262;41.301;-20.260;6.588;23.572;-19.204;8.313;31.512;-18.365;8.964;35.182;-17.635;9.398;37.886;-16.992;9.455;39.848;-19.278;7.445;25.412;-19.304;10.628;27.023;-18.095;11.990;28.856;-18.643;14.514;29.924;1.643;36.837;-2.084;15.759;34.232;0.063;20.934;20.622;-1.271;26.655;5.578;-2.746;23.288;5.517;9.566;19.532;5.099;24.621;19.353;3.518;25.671;18.366;1.293;31.979;18.163;-0.160;34.500;17.721;-1.285;36.624;17.309;-2.047;38.093;19.531;4.395;25.854;19.141;3.611;32.417;18.775;2.853;36.665;18.626;2.258;39.932;18.541;2.003;42.013;19.044;5.404;25.925;19.460;5.797;33.201;19.686;5.458;37.793;19.549;5.151;40.792;19.435;5.109;42.974;19.076;6.314;25.783;19.236;8.397;33.147;19.243;8.924;36.962;19.202;9.046;39.592;19.091;9.206;41.812;18.694;7.340;26.397;19.192;10.585;28.334;19.387;12.178;31.201;19.809;14.854;31.684;0.000;0.000;0.000;-7.650;-12.212;-0.975;-9.637;-33.003;-0.244;-11.973;-57.409;0.614;-10.784;-101.537;-7.581;7.548;-12.366;-1.593;9.322;-33.125;-0.590;11.401;-57.495;0.588;10.331;-101.842;-8.325
1905.000;76.200;0.043;7.241;-0.107;0.051;14.058;-0.176;0.022;26.119;-0.259;-0.099;42.009;-0.811;-0.179;46.232;2.192;0.083;52.696;3.201;-6.863;56.496;4.536;6.796;57.083;2.793;-2.448;58.840;11.458;4.075;59.120;10.625;-1.590;36.815;-2.257;-15.604;35.238;-1.258;-20.729;22.238;-2.465;-26.394;7.870;-3.800;-23.359;6.691;8.664;-20.026;5.212;23.276;-20.250;3.500;24.001;-17.874;1.474;30.895;-17.602;1.340;33.295;-17.343;0.668;35.778;-17.214;0.637;37.445;-20.407;4.324;24.108;-18.973;3.718;31.465;-18.197;4.256;35.387;-18.052;4.634;38.326;-17.972;4.850;40.358;-19.992;5.678;23.760;-19.223;6.202;31.980;-18.432;6.758;35.937;-17.599;7.314;39.158;-17.311;7.566;41.290;-20.327;6.689;23.597;-19.332;8.484;31.516;-18.489;9.159;35.196;-17.774;9.622;37.898;-17.141;9.693;39.862;-19.357;7.590;25.425;-19.393;10.783;27.025;-18.190;12.149;28.826;-18.720;14.674;29.900;1.633;36.846;-2.087;15.745;34.255;0.076;20.934;20.645;-1.221;26.669;5.602;-2.654;23.244;5.572;9.641;19.419;5.191;24.676;19.242;3.609;25.727;18.244;1.414;32.046;18.047;-0.032;34.576;17.607;-1.148;36.703;17.208;-1.908;38.177;19.413;4.489;25.906;19.018;3.744;32.476;18.670;2.983;36.721;18.528;2.416;39.993;18.432;2.184;42.075;18.918;5.515;25.979;19.311;5.920;33.261;19.566;5.605;37.847;19.431;5.323;40.846;19.318;5.282;43.028;18.950;6.424;25.834;19.076;8.526;33.197;19.079;9.081;37.014;19.041;9.195;39.646;18.948;9.362;41.867;18.573;7.436;26.428;19.047;10.698;28.367;19.186;12.309;31.232;19.649;14.982;31.690;0.000;0.000;0.000;-7.649;-12.212;-0.982;-9.640;-33.002;-0.247;-11.981;-57.407;0.616;-10.791;-101.540;-7.565;7.550;-12.365;-1.586;9.320;-33.126;-0.578;11.396;-57.498;0.604;10.329;-101.847;-8.303
1906.000;76.240;0.042;7.242;-0.107;0.044;14.061;-0.176;-0.001;26.124;-0.257;-0.132;42.014;-0.825;-0.215;46.239;2.175;0.043;52.702;3.184;-6.886;56.494;4.629;6.740;57.100;2.653;-2.358;58.861;11.469;4.149;59.150;10.526;-1.619;36.818;-2.267;-15.629;35.233;-1.268;-20.757;22.232;-2.454;-26.426;7.862;-3.764;-23.412;6.753;8.708;-20.105;5.359;23.330;-20.343;3.642;24.062;-17.957;1.681;30.982;-17.673;1.575;33.380;-17.418;0.924;35.867;-17.293;0.922;37.534;-20.503;4.467;24.162;-19.072;3.919;31.528;-18.296;4.459;35.444;-18.151;4.862;38.385;-18.082;5.086;40.417;-20.085;5.839;23.801;-19.318;6.404;32.027;-18.521;6.978;35.979;-17.656;7.586;39.192;-17.362;7.853;41.321;-20.430;6.845;23.636;-19.427;8.675;31.555;-18.599;9.373;35.228;-17.893;9.826;37.931;-17.257;9.918;39.894;-19.441;7.748;25.472;-19.478;10.947;27.043;-18.278;12.314;28.868;-18.809;14.853;29.907;1.604;36.850;-2.096;15.721;34.275;0.073;20.915;20.664;-1.193;26.656;5.621;-2.592;23.216;5.638;9.695;19.371;5.320;24.726;19.208;3.728;25.779;18.213;1.581;32.116;18.012;0.143;34.652;17.566;-0.962;36.786;17.169;-1.709;38.268;19.378;4.609;25.952;18.967;3.909;32.536;18.627;3.198;36.787;18.480;2.638;40.058;18.369;2.414;42.140;18.877;5.640;26.029;19.272;6.095;33.303;19.537;5.810;37.893;19.383;5.542;40.895;19.269;5.517;43.077;18.909;6.548;25.878;19.050;8.681;33.219;19.061;9.279;37.023;19.021;9.397;39.660;18.903;9.585;41.878;18.542;7.565;26.490;18.991;10.839;28.385;19.162;12.458;31.246;19.581;15.140;31.697;0.000;0.000;0.000;-7.648;-12.213;-0.984;-9.637;-33.004;-0.245;-11.975;-57.411;0.622;-10.780;-101.546;-7.535;7.551;-12.365;-1.583;9.323;-33.126;-0.564;11.401;-57.498;0.631;10.340;-101.849;-8.269
1907.000;76.280;0.041;7.244;-0.108;0.040;14.064;-0.176;-0.011;26.131;-0.255;-0.152;42.020;-0.840;-0.235;46.244;2.154;0.022;52.704;3.155;-6.893;56.495;4.668;6.711;57.104;2.548;-2.294;58.870;11.458;4.203;59.162;10.446;-1.636;36.821;-2.276;-15.643;35.230;-1.269;-20.783;22.229;-2.427;-26.465;7.859;-3.707;-23.461;6.819;8.769;-20.166;5.504;23.396;-20.400;3.800;24.141;-18.018;1.858;31.061;-17.690;1.752;33.467;-17.460;1.158;35.956;-17.322;1.176;37.622;-20.557;4.626;24.239;-19.129;4.109;31.605;-18.342;4.642;35.517;-18.209;5.028;38.457;-18.098;5.227;40.490;-20.149;5.988;23.868;-19.359;6.601;32.090;-18.543;7.208;36.026;-17.659;7.821;39.218;-17.309;8.130;41.332;-20.485;6.993;23.699;-19.480;8.866;31.604;-18.621;9.597;35.275;-17.914;10.102;37.958;-17.281;10.228;39.920;-19.529;7.885;25.504;-19.529;11.113;27.080;-18.311;12.499;28.889;-18.852;15.040;29.917;1.587;36.856;-2.106;15.706;34.296;0.060;20.905;20.686;-1.182;26.652;5.643;-2.554;23.218;5.705;9.737;19.377;5.437;24.771;19.209;3.855;25.834;18.240;1.733;32.177;18.042;0.305;34.723;17.612;-0.796;36.859;17.219;-1.545;38.341;19.378;4.737;26.004;18.999;4.064;32.585;18.660;3.364;36.837;18.511;2.821;40.121;18.430;2.607;42.206;18.878;5.762;26.079;19.308;6.238;33.338;19.556;5.981;37.939;19.441;5.724;40.935;19.322;5.700;43.118;18.909;6.669;25.924;19.079;8.836;33.251;19.094;9.442;37.057;19.057;9.561;39.693;18.951;9.750;41.911;18.557;7.693;26.532;19.012;10.974;28.410;19.214;12.597;31.258;19.587;15.284;31.721;0.000;0.000;0.000;-7.648;-12.213;-0.980;-9.636;-33.004;-0.240;-11.975;-57.410;0.629;-10.778;-101.547;-7.509;7.551;-12.365;-1.580;9.325;-33.128;-0.555;11.405;-57.501;0.647;10.343;-101.853;-8.250
1908.000;76.320;0.037;7.245;-0.109;0.031;14.066;-0.177;-0.029;26.134;-0.254;-0.175;42.022;-0.853;-0.258;46.249;2.136;-0.000;52.710;3.129;-6.909;56.499;4.674;6.686;57.110;2.488;-2.277;58.879;11.440;4.215;59.171;10.396;-1.659;36.822;-2.283;-15.662;35.232;-1.266;-20.818;22.235;-2.399;-26.517;7.870;-3.652;-23.514;6.893;8.826;-20.217;5.655;23.457;-20.470;3.953;24.211;-18.078;2.054;31.141;-17.746;1.955;33.554;-17.500;1.368;36.051;-17.367;1.375;37.718;-20.632;4.778;24.303;-19.181;4.310;31.670;-18.404;4.850;35.579;-18.238;5.242;38.531;-18.157;5.435;40.565;-20.189;6.146;23.925;-19.413;6.799;32.138;-18.576;7.430;36.064;-17.675;8.082;39.252;-17.326;8.409;41.365;-20.536;7.147;23.749;-19.526;9.051;31.641;-18.663;9.825;35.300;-17.958;10.345;37.991;-17.340;10.473;39.957;-19.570;8.050;25.560;-19.562;11.283;27.104;-18.347;12.677;28.875;-18.863;15.216;29.922;1.565;36.858;-2.115;15.686;34.308;0.046;20.896;20.701;-1.172;26.654;5.662;-2.518;23.229;5.757;9.773;19.399;5.535;24.811;19.245;3.951;25.877;18.294;1.863;32.244;18.142;0.455;34.796;17.726;-0.645;36.936;17.353;-1.377;38.431;19.414;4.834;26.041;19.064;4.205;32.627;18.758;3.518;36.885;18.616;2.997;40.178;18.552;2.795;42.265;18.911;5.868;26.112;19.378;6.379;33.366;19.617;6.132;37.970;19.508;5.908;40.967;19.378;5.895;43.148;18.942;6.775;25.953;19.131;8.974;33.275;19.174;9.596;37.066;19.148;9.750;39.700;19.025;9.937;41.918;18.575;7.810;26.572;19.038;11.090;28.415;19.186;12.740;31.251;19.628;15.417;31.708;0.000;0.000;0.000;-7.642;-12.217;-0.976;-9.632;-33.007;-0.227;-11.971;-57.412;0.652;-10.777;-101.548;-7.481;7.557;-12.362;-1.582;9.336;-33.125;-0.544;11.421;-57.501;0.673;10.359;-101.855;-8.213
