Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2061.000;82.440;-0.018;7.225;-0.164;-0.134;14.026;-0.319;-0.462;26.058;-0.594;-1.034;41.924;-1.483;-1.114;46.245;1.599;-0.990;52.717;2.844;-7.874;56.786;3.570;5.898;56.839;3.048;-4.003;58.955;10.865;2.574;58.981;10.616;-2.438;36.661;-2.757;-16.281;34.729;-1.378;-21.731;21.794;-1.905;-27.755;7.497;-2.486;-21.987;7.563;9.020;-15.332;7.624;22.582;-15.913;6.134;23.419;-13.221;4.073;30.058;-12.228;3.927;32.329;-11.109;3.425;34.594;-10.274;3.487;36.042;-15.898;6.978;23.477;-13.941;6.497;30.641;-12.341;6.807;34.381;-10.870;7.175;36.939;-9.810;7.349;38.679;-15.219;8.068;23.115;-13.538;8.972;31.013;-11.865;9.017;34.710;-9.910;9.192;37.457;-8.820;9.217;39.328;-15.298;9.139;22.866;-13.081;11.238;30.330;-10.932;11.454;33.518;-9.125;11.470;35.702;-7.774;11.221;37.243;-13.981;9.774;24.340;-13.006;12.954;25.996;-11.521;14.093;27.956;-11.005;16.618;29.036;0.787;36.780;-2.715;14.934;34.735;-1.133;20.722;21.364;-2.450;27.119;6.585;-3.905;21.659;7.000;7.677;15.349;7.177;21.886;15.039;5.587;23.035;13.498;4.371;29.450;12.599;3.845;32.246;11.191;3.790;34.252;10.091;3.753;35.555;15.232;6.477;23.112;14.530;6.574;29.639;13.238;6.738;33.786;11.605;6.990;36.672;10.512;7.279;38.439;14.742;7.714;23.147;14.883;8.816;30.115;13.047;9.507;34.312;11.365;9.984;36.751;10.079;10.405;38.467;14.875;8.591;22.903;14.776;11.379;29.681;13.593;12.505;33.204;12.461;12.932;35.537;11.400;13.301;37.461;14.479;9.543;23.286;14.718;13.049;24.781;14.381;14.702;27.646;14.078;17.353;28.321;0.000;0.000;0.000;-7.624;-12.248;-0.691;-9.617;-33.029;-0.042;-11.956;-57.424;0.719;-10.722;-101.549;-7.695;7.551;-12.345;-1.732;9.607;-33.075;-0.700;12.019;-57.412;0.512;11.283;-101.881;-8.464
2062.000;82.480;-0.016;7.225;-0.164;-0.125;14.025;-0.321;-0.436;26.056;-0.602;-0.991;41.923;-1.484;-1.065;46.245;1.599;-0.931;52.723;2.839;-7.809;56.801;3.565;5.963;56.836;3.036;-3.932;58.972;10.856;2.645;58.988;10.603;-2.401;36.662;-2.761;-16.248;34.740;-1.384;-21.701;21.807;-1.940;-27.728;7.513;-2.555;-21.980;7.561;8.962;-15.346;7.598;22.537;-15.945;6.112;23.372;-13.232;4.027;30.006;-12.224;3.875;32.269;-11.120;3.387;34.534;-10.266;3.443;35.970;-15.933;6.956;23.434;-13.965;6.452;30.595;-12.358;6.753;34.330;-10.892;7.124;36.893;-9.830;7.294;38.632;-15.231;8.038;23.076;-13.562;8.928;30.970;-11.875;8.956;34.671;-9.878;9.127;37.391;-8.784;9.126;39.260;-15.306;9.105;22.829;-13.100;11.181;30.296;-10.940;11.387;33.474;-9.123;11.392;35.642;-7.747;11.129;37.159;-13.985;9.746;24.306;-13.018;12.920;25.963;-11.535;14.058;27.919;-11.022;16.576;29.016;0.824;36.777;-2.718;14.971;34.717;-1.141;20.734;21.339;-2.485;27.104;6.552;-3.970;21.656;6.960;7.619;15.364;7.131;21.836;15.054;5.523;22.982;13.528;4.298;29.395;12.631;3.763;32.193;11.226;3.712;34.204;10.121;3.673;35.503;15.238;6.415;23.059;14.548;6.536;29.587;13.266;6.673;33.738;11.618;6.918;36.623;10.529;7.196;38.394;14.754;7.660;23.102;14.887;8.751;30.068;13.066;9.445;34.262;11.354;9.925;36.691;10.079;10.332;38.419;14.883;8.538;22.859;14.766;11.306;29.637;13.542;12.399;33.160;12.399;12.814;35.479;11.332;13.195;37.398;14.471;9.489;23.237;14.700;12.992;24.740;14.363;14.638;27.609;14.034;17.288;28.275;0.000;0.000;0.000;-7.624;-12.248;-0.691;-9.611;-33.029;-0.042;-11.944;-57.423;0.719;-10.698;-101.550;-7.697;7.551;-12.345;-1.732;9.612;-33.073;-0.706;12.032;-57.405;0.498;11.314;-101.875;-8.467
2063.000;82.520;-0.014;7.221;-0.165;-0.117;14.018;-0.329;-0.416;26.043;-0.631;-0.953;41.910;-1.508;-1.018;46.237;1.577;-0.863;52.722;2.814;-7.736;56.809;3.552;6.035;56.828;2.994;-3.841;58.982;10.832;2.736;58.991;10.565;-2.369;36.652;-2.786;-16.219;34.742;-1.407;-21.660;21.812;-2.007;-27.673;7.521;-2.670;-21.944;7.537;8.856;-15.337;7.539;22.440;-15.921;6.042;23.265;-13.214;3.946;29.894;-12.195;3.820;32.159;-11.065;3.312;34.415;-10.212;3.367;35.852;-15.912;6.886;23.328;-13.956;6.375;30.491;-12.350;6.637;34.237;-10.903;7.003;36.801;-9.849;7.178;38.544;-15.232;7.971;22.982;-13.556;8.833;30.882;-11.885;8.842;34.577;-9.889;8.986;37.309;-8.798;9.008;39.179;-15.309;9.034;22.738;-13.108;11.104;30.213;-10.968;11.305;33.389;-9.138;11.295;35.557;-7.752;11.032;37.065;-13.971;9.687;24.211;-13.019;12.853;25.885;-11.550;13.990;27.856;-11.028;16.513;28.938;0.856;36.763;-2.744;15.001;34.686;-1.176;20.751;21.304;-2.538;27.106;6.513;-4.043;21.671;6.902;7.553;15.391;7.049;21.779;15.098;5.456;22.926;13.578;4.204;29.336;12.673;3.664;32.136;11.271;3.583;34.139;10.168;3.546;35.440;15.282;6.348;23.007;14.588;6.424;29.533;13.320;6.553;33.684;11.657;6.786;36.568;10.574;7.066;38.342;14.788;7.569;23.048;14.930;8.657;30.014;13.096;9.353;34.213;11.392;9.799;36.643;10.119;10.205;38.373;14.911;8.449;22.805;14.793;11.222;29.581;13.551;12.261;33.115;12.404;12.694;35.433;11.332;13.032;37.357;14.503;9.416;23.210;14.727;12.907;24.694;14.384;14.545;27.562;14.064;17.191;28.248;0.000;0.000;0.000;-7.625;-12.247;-0.691;-9.606;-33.026;-0.046;-11.931;-57.418;0.712;-10.678;-101.550;-7.696;7.551;-12.345;-1.732;9.616;-33.073;-0.710;12.041;-57.406;0.491;11.335;-101.875;-8.472
2064.000;82.560;-0.013;7.218;-0.169;-0.112;14.013;-0.343;-0.400;26.033;-0.670;-0.924;41.900;-1.553;-0.984;46.231;1.536;-0.817;52.720;2.780;-7.681;56.818;3.538;6.089;56.815;2.936;-3.759;58.987;10.805;2.817;58.985;10.518;-2.344;36.642;-2.829;-16.197;34.739;-1.452;-21.616;21.809;-2.098;-27.606;7.518;-2.811;-21.892;7.520;8.720;-15.297;7.510;22.310;-15.870;6.005;23.132;-13.147;3.909;29.762;-12.151;3.794;32.002;-10.940;3.284;34.244;-10.061;3.348;35.665;-15.866;6.849;23.197;-13.955;6.311;30.371;-12.339;6.538;34.115;-10.883;6.881;36.683;-9.808;7.028;38.416;-15.192;7.954;22.847;-13.586;8.811;30.763;-11.922;8.780;34.466;-9.872;8.928;37.180;-8.769;8.926;39.044;-15.278;9.027;22.605;-13.128;11.091;30.084;-10.991;11.277;33.280;-9.185;11.283;35.448;-7.796;11.026;36.953;-13.957;9.655;24.099;-12.989;12.825;25.770;-11.509;13.951;27.746;-10.959;16.478;28.804;0.881;36.751;-2.787;15.021;34.660;-1.224;20.779;21.276;-2.584;27.143;6.483;-4.086;21.730;6.840;7.524;15.476;6.949;21.770;15.190;5.326;22.902;13.663;4.080;29.325;12.756;3.528;32.117;11.326;3.429;34.107;10.222;3.390;35.407;15.362;6.220;22.979;14.668;6.324;29.522;13.380;6.440;33.669;11.706;6.641;36.537;10.587;6.907;38.291;14.872;7.467;23.036;15.027;8.544;30.001;13.163;9.230;34.201;11.440;9.655;36.625;10.126;10.049;38.326;14.992;8.348;22.795;14.877;11.111;29.575;13.583;12.127;33.111;12.436;12.541;35.418;11.336;12.882;37.326;14.578;9.307;23.196;14.787;12.807;24.693;14.425;14.436;27.558;14.084;17.078;28.249;0.000;0.000;0.000;-7.625;-12.247;-0.692;-9.606;-33.024;-0.055;-11.931;-57.414;0.694;-10.675;-101.546;-7.738;7.550;-12.345;-1.731;9.616;-33.072;-0.718;12.040;-57.403;0.471;11.336;-101.877;-8.512
2065.000;82.600;-0.011;7.216;-0.174;-0.108;14.009;-0.359;-0.388;26.025;-0.713;-0.904;41.892;-1.604;-0.960;46.229;1.493;-0.779;52.723;2.752;-7.633;56.833;3.540;6.134;56.806;2.878;-3.675;58.994;10.790;2.899;58.981;10.474;-2.326;36.634;-2.879;-16.181;34.738;-1.508;-21.577;21.806;-2.185;-27.540;7.512;-2.934;-21.832;7.526;8.601;-15.240;7.530;22.199;-15.818;6.013;23.015;-13.034;3.891;29.641;-12.048;3.827;31.859;-10.619;3.375;33.990;-9.578;3.505;35.292;-15.809;6.857;23.080;-13.925;6.311;30.257;-12.340;6.439;34.016;-10.770;6.720;36.533;-9.603;6.804;38.210;-15.133;7.980;22.738;-13.569;8.820;30.656;-11.901;8.770;34.359;-9.726;8.848;36.975;-8.503;8.800;38.762;-15.232;9.045;22.500;-13.105;11.112;29.970;-10.964;11.286;33.159;-9.140;11.255;35.330;-7.744;11.040;36.836;-13.933;9.676;23.995;-12.927;12.851;25.655;-11.372;13.959;27.594;-10.832;16.481;28.668;0.899;36.741;-2.834;15.038;34.646;-1.271;20.811;21.265;-2.616;27.192;6.475;-4.102;21.814;6.768;7.534;15.611;6.797;21.808;15.328;5.164;22.932;13.817;3.886;29.360;12.888;3.293;32.134;11.442;3.175;34.104;10.307;3.103;35.376;15.483;6.062;23.010;14.836;6.151;29.562;13.524;6.210;33.709;11.732;6.389;36.533;10.574;6.666;38.259;15.002;7.298;23.080;15.131;8.380;30.045;13.263;9.019;34.245;11.475;9.413;36.630;10.106;9.797;38.290;15.107;8.181;22.841;14.959;10.938;29.628;13.640;11.920;33.155;12.436;12.259;35.438;11.277;12.581;37.315;14.711;9.138;23.240;14.849;12.640;24.746;14.471;14.262;27.630;14.103;16.907;28.294;0.000;0.000;0.000;-7.625;-12.247;-0.692;-9.605;-33.020;-0.053;-11.929;-57.406;0.697;-10.666;-101.542;-7.745;7.551;-12.347;-1.722;9.616;-33.070;-0.711;12.042;-57.397;0.477;11.343;-101.862;-8.520
2066.000;82.640;-0.009;7.213;-0.180;-0.102;14.002;-0.376;-0.374;26.012;-0.754;-0.886;41.879;-1.657;-0.940;46.221;1.447;-0.748;52.716;2.724;-7.592;56.834;3.552;6.171;56.789;2.816;-3.593;58.985;10.782;2.979;58.964;10.430;-2.309;36.620;-2.928;-16.165;34.738;-1.557;-21.542;21.809;-2.249;-27.486;7.519;-3.013;-21.790;7.573;8.522;-15.209;7.633;22.119;-15.802;6.118;22.942;-12.969;4.058;29.565;-11.873;4.033;31.731;-10.004;3.777;33.545;-8.706;4.023;34.571;-15.801;6.961;23.011;-13.933;6.385;30.185;-12.365;6.293;33.964;-10.431;6.406;36.277;-9.078;6.424;37.810;-15.116;8.073;22.659;-13.596;8.927;30.592;-11.923;8.822;34.317;-9.636;8.836;36.804;-8.249;8.744;38.465;-15.206;9.139;22.417;-13.097;11.210;29.898;-10.954;11.370;33.096;-9.171;11.351;35.262;-7.757;11.116;36.749;-13.921;9.782;23.925;-12.782;12.939;25.607;-11.195;14.016;27.490;-10.561;16.554;28.472;0.917;36.727;-2.882;15.052;34.639;-1.316;20.849;21.268;-2.644;27.257;6.489;-4.112;21.920;6.664;7.558;15.773;6.557;21.875;15.536;4.900;22.986;14.033;3.565;29.415;13.073;2.886;32.158;11.555;2.761;34.079;10.372;2.673;35.305;15.673;5.801;23.068;15.046;5.846;29.628;13.668;5.816;33.765;11.688;5.966;36.452;10.369;6.200;38.067;15.164;7.025;23.159;15.293;8.076;30.117;13.405;8.620;34.330;11.450;8.960;36.609;9.946;9.306;38.157;15.248;7.911;22.924;15.058;10.631;29.721;13.693;11.536;33.215;12.320;11.776;35.430;11.034;12.018;37.235;14.848;8.869;23.328;14.913;12.361;24.845;14.494;13.958;27.736;14.091;16.587;28.443;0.000;0.000;0.000;-7.627;-12.246;-0.689;-9.611;-33.019;-0.047;-11.939;-57.405;0.706;-10.679;-101.539;-7.747;7.549;-12.349;-1.711;9.616;-33.071;-0.699;12.042;-57.396;0.488;11.347;-101.856;-8.518
2067.000;82.680;-0.007;7.214;-0.188;-0.099;14.004;-0.394;-0.367;26.015;-0.794;-0.885;41.881;-1.706;-0.937;46.225;1.407;-0.727;52.713;2.708;-7.562;56.840;3.562;6.198;56.778;2.771;-3.531;58.989;10.775;3.040;58.959;10.398;-2.304;36.621;-2.976;-16.160;34.753;-1.613;-21.529;21.833;-2.251;-27.464;7.554;-2.955;-21.823;7.765;8.593;-15.304;8.018;22.207;-15.864;6.454;23.021;-13.061;4.447;29.653;-11.931;4.376;31.822;-9.470;4.373;32.753;-7.855;4.788;32.877;-15.852;7.298;23.078;-14.085;6.753;30.293;-12.320;6.522;33.990;-9.830;6.583;35.703;-7.946;6.519;36.496;-15.220;8.522;22.724;-13.757;9.356;30.687;-12.135;9.196;34.455;-9.549;9.070;36.582;-7.714;8.976;37.728;-15.350;9.590;22.487;-13.301;11.653;29.970;-11.152;11.805;33.162;-9.306;11.769;35.320;-7.925;11.522;36.834;-14.032;10.194;24.059;-12.542;13.278;25.619;-10.723;14.207;27.416;-9.774;16.703;28.241;0.921;36.730;-2.927;15.056;34.666;-1.361;20.876;21.299;-2.670;27.308;6.526;-4.116;22.048;6.454;7.623;16.001;6.056;22.026;15.837;4.353;23.097;14.338;2.924;29.509;13.198;2.163;32.183;11.468;2.016;33.917;10.133;1.929;34.976;15.931;5.258;23.180;15.310;5.227;29.774;13.611;5.061;33.815;11.162;5.138;36.101;9.509;5.336;37.378;15.348;6.486;23.346;15.478;7.482;30.277;13.393;7.823;34.440;11.087;8.048;36.395;9.270;8.232;37.597;15.398;7.377;23.118;15.116;9.995;29.868;13.524;10.747;33.293;11.855;10.799;35.292;10.236;10.891;36.820;14.992;8.311;23.501;14.887;11.769;25.079;14.399;13.306;27.981;13.860;15.896;28.739;0.000;0.000;0.000;-7.629;-12.245;-0.687;-9.616;-33.017;-0.040;-11.950;-57.402;0.721;-10.688;-101.535;-7.736;7.549;-12.352;-1.692;9.610;-33.070;-0.682;12.030;-57.391;0.504;11.336;-101.851;-8.512
2068.000;82.720;-0.005;7.214;-0.195;-0.092;14.004;-0.410;-0.350;26.015;-0.829;-0.889;41.881;-1.728;-0.944;46.226;1.411;-0.723;52.707;2.771;-7.551;56.843;3.637;6.205;56.766;2.795;-3.492;59.012;10.829;3.077;58.975;10.427;-2.300;36.621;-3.004;-16.144;34.750;-1.694;-21.533;21.842;-2.044;-27.490;7.576;-2.431;-21.933;8.311;9.108;-15.490;9.205;22.724;-16.038;7.574;23.540;-13.333;5.665;30.195;-12.031;5.503;32.304;-9.538;5.945;31.749;-8.578;6.632;30.565;-15.982;8.418;23.570;-14.357;7.979;30.865;-11.974;7.717;34.180;-8.946;8.017;34.225;-7.077;8.166;33.408;-15.402;9.779;23.201;-14.130;10.654;31.198;-12.110;10.388;34.829;-8.886;10.267;35.764;-6.735;10.037;35.875;-15.560;10.834;22.961;-13.667;12.979;30.428;-11.565;13.183;33.678;-9.878;13.145;35.927;-8.504;12.969;37.458;-14.278;11.451;24.596;-12.168;14.253;26.075;-10.126;14.894;27.742;-8.778;17.273;28.314;0.926;36.733;-2.951;15.057;34.721;-1.384;20.885;21.359;-2.651;27.327;6.592;-4.050;22.214;5.995;7.801;16.353;4.975;22.348;16.299;3.200;23.334;14.741;1.517;29.656;13.337;0.704;32.201;11.374;0.507;33.630;9.860;0.451;34.414;16.328;4.108;23.437;15.604;3.803;30.056;13.179;3.506;33.725;10.226;3.465;35.283;8.256;3.581;35.995;15.697;5.220;23.725;15.590;6.105;30.594;13.030;6.087;34.502;10.336;5.990;35.901;8.253;6.018;36.564;15.655;6.117;23.522;15.050;8.556;30.241;13.078;8.947;33.508;11.113;8.679;35.181;9.252;8.486;36.393;15.128;7.068;23.841;14.613;10.401;25.676;13.883;11.721;28.681;12.875;14.109;29.603;0.000;0.000;0.000;-7.629;-12.244;-0.692;-9.622;-33.016;-0.022;-11.960;-57.401;0.764;-10.687;-101.536;-7.689;7.550;-12.354;-1.667;9.605;-33.072;-0.642;12.017;-57.392;0.562;11.321;-101.841;-8.464
2069.000;82.760;-0.002;7.213;-0.207;-0.080;14.003;-0.432;-0.318;26.014;-0.869;-0.880;41.879;-1.763;-0.955;46.225;1.424;-0.755;52.689;2.900;-7.576;56.837;3.759;6.177;56.741;2.872;-3.491;59.051;10.922;3.077;59.006;10.499;-2.277;36.617;-3.047;-16.103;34.765;-1.824;-21.580;21.872;-1.488;-27.633;7.622;-1.116;-22.099;9.547;10.284;-15.655;11.872;23.744;-16.264;10.217;24.647;-13.761;8.720;31.300;-12.014;8.799;33.041;-10.294;9.371;31.404;-10.598;9.906;29.849;-16.163;11.056;24.615;-14.779;11.128;31.957;-11.351;11.083;34.210;-9.036;11.282;32.201;-8.575;11.391;30.212;-15.603;12.414;24.241;-14.457;13.794;31.960;-11.406;13.521;34.754;-8.184;13.139;33.770;-6.451;12.791;32.519;-15.696;13.444;23.916;-14.156;16.070;31.204;-12.219;16.404;34.554;-10.820;16.493;36.959;-9.661;16.349;38.662;-14.444;14.187;25.458;-11.988;16.757;27.007;-9.809;17.079;28.618;-8.116;19.244;29.120;0.948;36.735;-2.982;15.067;34.772;-1.351;20.892;21.408;-2.536;27.329;6.638;-3.845;22.391;5.185;8.088;16.741;3.136;22.741;16.837;1.283;23.566;15.216;-1.037;29.635;13.728;-2.067;32.030;11.596;-2.445;33.179;9.996;-2.635;33.740;16.777;2.179;23.735;15.910;1.279;30.318;12.861;0.470;33.445;9.561;0.034;34.145;7.480;-0.034;34.399;15.993;3.239;24.137;15.647;3.496;30.988;12.615;2.863;34.464;9.713;2.329;35.258;7.543;2.108;35.385;15.881;4.144;24.007;14.905;5.864;30.798;12.593;5.669;33.870;10.498;4.960;35.219;8.543;4.396;36.127;15.210;4.904;24.393;13.953;7.810;26.628;12.802;8.553;29.675;11.190;10.410;30.909;0.000;0.000;0.000;-7.628;-12.245;-0.697;-9.633;-33.016;0.002;-11.987;-57.400;0.822;-10.711;-101.536;-7.596;7.555;-12.358;-1.619;9.595;-33.071;-0.576;11.990;-57.387;0.650;11.297;-101.849;-8.368
2070.000;82.800;0.001;7.215;-0.217;-0.075;14.005;-0.451;-0.307;26.018;-0.901;-0.869;41.883;-1.808;-0.982;46.236;1.447;-0.838;52.671;3.092;-7.655;56.825;3.954;6.093;56.725;2.983;-3.527;59.109;11.070;3.038;59.061;10.606;-2.256;36.619;-3.098;-16.077;34.873;-1.996;-21.650;22.068;-0.477;-27.811;7.916;1.202;-22.206;11.749;12.049;-15.606;16.371;24.884;-16.340;14.983;25.989;-14.520;14.201;32.582;-12.337;14.438;33.762;-10.867;14.853;31.308;-12.061;15.618;30.422;-16.184;15.806;25.869;-15.306;16.715;32.889;-11.280;16.373;33.646;-10.342;16.221;30.718;-10.983;16.122;28.779;-15.533;16.910;25.359;-14.856;19.263;32.326;-10.866;18.593;33.535;-8.562;17.630;31.338;-7.570;16.834;29.586;-15.498;17.783;24.905;-14.398;21.516;31.555;-12.726;22.157;35.020;-11.661;22.660;37.548;-10.932;22.751;39.478;-14.367;18.767;26.249;-11.592;21.033;27.768;-9.572;21.130;29.529;-7.392;22.791;30.073;0.969;36.739;-3.012;15.063;34.792;-1.224;20.909;21.428;-2.283;27.370;6.657;-3.454;22.538;3.995;8.401;16.986;0.483;22.957;17.315;-1.432;23.518;15.908;-4.713;29.153;14.434;-6.311;31.259;12.296;-7.061;32.215;10.700;-7.484;32.645;17.142;-0.578;23.794;16.214;-2.519;30.171;13.084;-4.198;32.843;9.852;-5.081;33.130;7.785;-5.437;33.114;16.247;0.334;24.320;15.598;-0.390;31.130;12.543;-2.017;34.224;9.696;-2.969;34.717;7.570;-3.461;34.586;16.023;1.227;24.307;14.530;1.800;31.230;12.219;0.881;34.116;10.191;-0.295;35.235;8.304;-1.247;35.941;15.238;1.790;24.752;13.214;3.877;27.419;11.845;3.862;30.454;9.818;5.048;31.888;0.000;0.000;0.000;-7.627;-12.244;-0.728;-9.651;-33.010;0.002;-12.028;-57.388;0.859;-10.743;-101.539;-7.471;7.562;-12.362;-1.552;9.578;-33.072;-0.488;11.945;-57.384;0.762;11.268;-101.849;-8.243
